"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/31/2021 19:01:41.169"," "," ","51.669070229788559345"," "," "," "," "," "," "," "," "," ","39","39","39","39","39","40","39","39"
"10/31/2021 19:01:43.177","4081.2877738328875239","2040.6438869164437619","51.677386800683422052","27.620904034271966054","7.3858879578318710202","36.181872374304312245","8.9424276560195696817","27.620904034271966054","9.7206975051134172361","17.503395996051917649","12.055507052394965228","18.378948331050736442","39","39","39","39","39","39","39","39"
"10/31/2021 19:01:45.175","3902193.9703804319724","2754489.8614450106397","55.825467001606121187","13.225267281186459556","21.8245651181860012","27.296845559912974011","5.4077237930050596759","35.896143396912513879","18.697547722913434143","10.880004234732032486","19.479302071731574131","19.08842489732250769","76","75","75","77","76","75","76","77"
"10/31/2021 19:01:47.174","327973.50348827167181","4034074.0929057416506","56.378548465757290842","11.637743901721908202","1.4721746160792914537","10.073810165469199163","0.690207747952931161","64.029524066187676112","6.9459426929637686499","3.8180752204583501275","28.059048132375352225","15.84081706904805209","74","74","74","74","74","74","74","74"
"10/31/2021 19:01:49.172","73777.892299667655607","30740.788458194856503","56.893065771295937338","6.9689610678830060664","0","11.659601686309073898","21.040882923161198903","67.947289107421866561","3.0600938858612813931","0","0","13.711755706032979774","90","90","90","90","90","90","90","90"
"10/31/2021 19:01:51.164","0","84307.954966812671046","57.27655120596209315","43.522097544114892287","1.1636707022010583934","4.3013319497502315869","2.7325013259756447681","33.324698489580072192","35.677944425241960857","3.5169166378629324043","1.9480860140883460296","15.773409651295388301","74","76","74","74","74","75","74","74"
"10/31/2021 19:01:53.168","0","0","57.609398071097537297","4.0663680284421239719","0","0.9465751187979654091","0.16662689138693398405","96.100258862944798466","4.8463162558531669433","0.9465751187979654091","0.9465751187979654091","13.425746757374600548","90","90","90","90","90","90","90","90"
"10/31/2021 19:01:55.170","16361.521723380334151","28632.663015915582946","57.998551069292837212","11.059779462206387635","0.91747361140536165536","2.4778283576824433609","4.0381831039595255106","35.24527802950113653","68.012727701319846574","1.697650984543896957","1.697650984543896957","15.643317784543919302","90","90","90","90","90","90","90","90"
"10/31/2021 19:01:57.178","0","14282.933901528955175","58.204277897766857564","3.4844672758544414926","0","1.1494140647864026228","0","6.5978715572784896182","28.391701527246848258","68.865957185759498316","0","13.408445913617029532","90","90","90","90","90","90","90","90"
"10/31/2021 19:01:59.165","0","0","58.137807100577695962","29.221202202228504063","0.12325199647800211267","8.7739939495389602797","2.4825452564037120418","4.8418385163294335172","54.386996974769473923","31.580495462154225095","2.4825452564037120418","16.736607443498506598","90","90","90","90","90","90","90","90"
"10/31/2021 19:02:01.165","0","38910.422182380505546","57.900508157420091493","4.6917888695008684863","0.78571464284107328524","5.4730037148328358754","1.5669294881730300162","3.1293591788369545803","1.5669294881730300162","100","0.0044997975091165542949","14.652280647370863775","90","90","90","90","90","90","90","90"
"10/31/2021 19:02:03.166","0","0","61.45179880816764495","10.978587832785780876","1.6079128678158638444","35.186164825624729247","1.6079128678158638444","25.815489860654817988","14.102146154442419146","16.444814895684899625","24.253710699826491748","16.249590001734702582","90","90","90","90","90","90","90","90"
"10/31/2021 19:02:05.169","132915.42986189955263","1368006.5011940123513","51.397427043737245356","14.195938186728906061","4.8354950798266127521","11.855827410003328737","7.1756058565521811943","67.238449125841952991","18.096122814604864715","5.6155320054018016407","5.6155320054018016407","16.828564058604257525","39","40","39","39","39","39","39","39"
"10/31/2021 19:02:07.171","208665.45597097047721","2814937.915843680501","51.442151598502448451","18.840188840151384397","10.255978044398162297","30.545930834360312645","8.6952124451703092234","32.106696433588176376","11.81674364362601537","19.620571639765316263","7.1344468459424437157","17.376969842262791843","39","39","39","39","39","39","39","39"
"10/31/2021 19:02:09.174","271673.49025081039872","1680644.2821160198655","51.609160274176204553","14.980219500668500388","5.6202436658797090274","19.660207418062892515","5.6202436658797090274","18.88020943183049738","8.7402356108093108844","11.080229569506505172","13.420223528203701235","12.250226548855103204","39","39","39","39","39","39","39","39"
"10/31/2021 19:02:11.160","115495.09124714416976","2773944.60227515921","51.601952582505049349","12.670128659842273322","4.8025726832514941123","7.1628394762287221909","4.8025726832514941123","10.309861866865045243","5.5893282809105659936","7.1628394762287221909","15.817151050478594598","8.5396642897500267821","39","39","39","39","39","39","39","39"
"10/31/2021 19:02:13.164","0","1064785.5264100006316","51.606049260964162784","12.692756931247195951","0.22029363571107740682","9.5746411073631687572","3.3384094595951041562","12.692756931247195951","3.3384094595951041562","6.4565252834791309056","11.913227975276186044","7.5283738562002771033","39","40","39","40","39","39","39","39"
